customer_group_key,display_name,account_count,account_record_ids,account_names,score,method,requires_review,evidence
b canvas j,B & J Canvas,2,3429 | 1503,B & J Canvas | J & B Canvas,100,exact_normalized_business_family,False,All 2 account name(s) reduce to the exact family signature 'b canvas j' after legal and state suffix normalization.
a beard h,Beard A. H. Pty Ltd,7,63 | 2586 | 2187 | 3075 | 2282 | 1038 | 4178,Beard A. H. Pty Ltd - NSW | Beard A. H. Pty Ltd - NZ | Beard A. H. Pty Ltd - Qld | Beard A. H. Pty Ltd - SA | Beard A. H. Pty Ltd - Tasmania | Beard A. H. Pty Ltd - Victoria | Beard A. H. Pty Ltd - WA,100,exact_normalized_business_family,False,All 7 account name(s) reduce to the exact family signature 'a beard h' after legal and state suffix normalization.
carpet supermarket,Carpet Supermarket,2,3419 | 2072,Carpet Supermarket | The Carpet Supermarket,100,exact_normalized_business_family,False,All 2 account name(s) reduce to the exact family signature 'carpet supermarket' after legal and state suffix normalization.
chair solutions,Chair Solutions,5,4317 | 4476 | 4328 | 4303 | 4201,Chair Solutions - NSW | Chair Solutions - NZ | Chair Solutions - QLD | Chair Solutions - VIC | Chair Solutions - WA,100,exact_normalized_business_family,False,All 5 account name(s) reduce to the exact family signature 'chair solutions' after legal and state suffix normalization.
direct pallets,Direct Pallets,2,4543 | 4460,Direct Pallets | Direct Pallets Pty Ltd,100,exact_normalized_business_family,False,All 2 account name(s) reduce to the exact family signature 'direct pallets' after legal and state suffix normalization.
doyle sails,Doyle Sails,2,4319 | 4378,Doyle Sails - NSW | Doyle Sails - QLD,100,exact_normalized_business_family,False,All 2 account name(s) reduce to the exact family signature 'doyle sails' after legal and state suffix normalization.
dunlop foams,Dunlop Foams,4,3703 | 1801 | 3710 | 3715,Dunlop Foams - NSW | Dunlop Foams - Qld | Dunlop Foams - Tasmania | Dunlop Foams - WA,100,exact_normalized_business_family,False,All 4 account name(s) reduce to the exact family signature 'dunlop foams' after legal and state suffix normalization.
canvas eagle,Eagle Canvas,2,2413 | 3899,Eagle Canvas - NSW | Eagle Canvas - QLD,100,exact_normalized_business_family,False,All 2 account name(s) reduce to the exact family signature 'canvas eagle' after legal and state suffix normalization.
elizabeth machines,Elizabeth Machines Co,2,5094 | 2208,Elizabeth Machines Co - QLD | Elizabeth Machines Co.,100,exact_normalized_business_family,False,All 2 account name(s) reduce to the exact family signature 'elizabeth machines' after legal and state suffix normalization.
foamco industries l p,Foamco Industries P/L,3,3698 | 5000 | 4999,Foamco Industries P/L - NSW | Foamco Industries P/L - QLD | Foamco Industries P/L - VIC,100,exact_normalized_business_family,False,All 3 account name(s) reduce to the exact family signature 'foamco industries l p' after legal and state suffix normalization.
futuresleep l p,Futuresleep P/L WA,4,1650 | 708 | 707 | 3638,Futuresleep P/L NSW | Futuresleep P/L QLD | Futuresleep P/L VIC | Futuresleep P/L WA,100,exact_normalized_business_family,False,All 4 account name(s) reduce to the exact family signature 'futuresleep l p' after legal and state suffix normalization.
hi industries l p safe,Hi Safe Industries P/L,2,3191 | 3189,Hi Safe Industries P/L | Hi-Safe Industries P/L,100,exact_normalized_business_family,False,All 2 account name(s) reduce to the exact family signature 'hi industries l p safe' after legal and state suffix normalization.
foam joyce products,Joyce Foam Products,3,1329 | 1275 | 2070,Joyce Foam Products - NSW | Joyce Foam Products - Qld | Joyce Foam Products - VIC,100,exact_normalized_business_family,False,All 3 account name(s) reduce to the exact family signature 'foam joyce products' after legal and state suffix normalization.
design group quantum sail,Quantum Sail Design Group,2,2136 | 3332,Quantum Sail Design Group | Quantum Sail Design Group - Vic,100,exact_normalized_business_family,False,All 2 account name(s) reduce to the exact family signature 'design group quantum sail' after legal and state suffix normalization.
reclaim timber,Reclaim & Timber Co,3,4696 | 5037 | 4735,Reclaim & Timber Co | Reclaim & Timber Co - Queensland | Reclaim & Timber Co - Victoria,100,exact_normalized_business_family,False,All 3 account name(s) reduce to the exact family signature 'reclaim timber' after legal and state suffix normalization.
